,GISJOIN,cluster_id,distance,is_parent,frac_distance,sample_percent
16,G0100330,28,35.045454545454504,0.0,0.38636363636363635,0.12727272727272726
17,G0100350,29,6.366883116883173,0.0,0.12431050719763247,0.0748621014395265
18,G0100370,48,11.770935960590577,0.0,0.21556720949487745,0.0931134418989755
19,G0100390,55,22.3793103448279,0.0,0.29239230064161564,0.10847846012832313
20,G0100410,29,2.633116883116827,0.0,0.046952778151484395,0.05939055563029688
21,G0100430,54,2.846153846153811,0.0,0.014814814814814815,0.05296296296296297
22,G0100450,24,46.49479166666629,0.0,0.4339622641509434,0.1367924528301887
23,G0100470,55,43.6206896551721,0.0,0.57470210815765,0.16494042163153
24,G0100490,49,26.0,0.0,0.2,0.09000000000000001
25,G0100510,54,44.15384615384619,0.0,0.32079772079772134,0.11415954415954427
26,G0100530,24,6.494791666666288,0.0,0.05660377358490566,0.06132075471698113
27,G0100550,49,1.0,0.0,0.007692307692307693,0.05153846153846154
28,G0100570,51,6.167381974248201,0.0,0.125,0.07500000000000001
29,G0100590,24,88.49479166666629,0.0,0.8301886792452831,0.2160377358490566
30,G0100610,51,48.1673819742482,0.0,1.0,0.25
31,G0100630,48,24.229064039409423,0.0,0.44824730886007,0.139649461772014
32,G0100650,29,32.63311688311683,0.0,0.6685053141396468,0.18370106282792936
33,G0100670,51,41.8326180257518,0.0,0.8680257510729916,0.2236051502145983
34,G0100690,28,6.954545454545496,0.0,0.06714876033057945,0.0634297520661159
35,G0100710,16,55.49285714285725,0.0,0.5094339622641509,0.1518867924528302
36,G0100730,30,180.25,0.0,0.3582089552238806,0.12164179104477613
