GISJOIN,Time
G0400190004618,5.932874740101397
G0600610020717,6.956239573191851
G4601270020100,4.63941733003594
G4200210000300,9.225402891868725
G0600450010400,3.4341746419668198
G4800610012305,4.9115740458946675
G0600850501101,6.884489258052781
G3600310960300,6.2041542758233845
G4200070601300,8.89608267415315
G5300330032704,8.756394792115316
G0600570001206,5.679901828989387
G4100390001500,7.805812407983467
G1201070950700,7.5952755860053
G5300750001000,7.16932652099058
G5300450960800,5.70395889505744
G2400230000300,5.901933153858408
G2500170317102,1.9410954278428108
G1200690030104,4.5169532601721585
G0400070000301,5.0038739568553865
G3000490000800,7.901257650926709
G3900930028100,6.34978979290463
G4200030499300,8.392427664948627
G2500250030400,8.481642829021439
G0600650040607,4.092753733042628
G1301390000800,5.9513962210621685
G4201290803800,7.268230057088658
G1700310817500,5.344261132180691
G0600710006500,6.301673857029527
G4201250711000,6.757947284961119
G0600670007019,4.8567264610901475
G3700670003804,6.50763751915656
G3600050019700,4.668244256870821
G0101030005103,4.713929252931848
G0600250012002,4.963366142939776
G2800490010102,5.364623537985608
G4803090003300,5.6455637640319765
G1201170020803,8.554466790053993
G4500190001100,5.453703102888539
G1200110041400,4.469572825124487
G3700810012503,7.110146967926994
G0400190004431,6.410668175900355
G5400390001200,3.8233356960117817
G3500010003600,6.65579306287691
G3900610023521,5.394912249874324
G0600970153704,5.017083663959056
G0600510000102,4.157449467107654
G5300330010001,7.909682481084019
G1600830000200,4.970696293981746
G3400190011304,6.243249070830643
G7200330020403,7.851630212971941
G4201330010300,8.881875081919134
G4801410002800,11.577961520059034
G1500090030501,4.2178998191375285
G1200110070306,6.777303854934871
G1000010042800,4.637991195078939
G0600230000300,4.6067132339812815
G0601130010501,8.582116587087512
G5300070961100,4.862619394203648
G0400030001100,5.117455848027021
G2600910060800,4.368662548018619
G5300070960300,4.553652640897781
G5600070967600,3.5473563889972866
G1200990007812,1.9058327288366854
G1700310820202,8.47325534094125
G3701290011608,7.071472855983302
G2001730010113,8.990946972975507
G3200030005501,6.049356454983354
G1700310801500,6.0080805090256035
G2900370061001,6.21146249002777
G2900950015900,7.0817379779182374
G2800490001300,6.464948469074443
G5300330023804,7.6026861818972975
G3000270030100,4.994659187970683
G0800770000700,7.25183639395982
G0200200001601,6.6020240189973265
G1901630012200,7.204873118083924
G4804790001711,5.944998705061153
G0600530011000,5.402490265900269
G3700670000600,9.64327225717716
G4500790010805,4.365408864803612
G0600710008901,11.593180164927617
G1600270020100,8.182852002093568
G4200710000200,7.383186165941879
G2400430011000,5.120210353983566
G4000210978300,5.393679153174162
G5300330021400,7.396071690833196
G0600010422000,4.566341968020424
G5300030960300,6.220853782026097
G1800890020900,4.733230621786788
G5300330009300,11.470259052002802
G1600170950400,5.979319758946076
G0201700001201,5.646901371888816
G2101450030100,6.521806115983054
G4200030462600,7.981471430975944
G3200050001000,4.676819135900587
G5300510970200,4.791801498038694
G0400230966302,7.353016350185499
G1900450000200,7.028923001140356
G1901130002300,5.507786998990923
G0600730015704,4.964713342022151
G0100730000800,9.000281075015664
G2700170940000,5.689034014008939
G4804390111540,6.667420712066814
G2300010020400,5.925715531921014
G3600710000501,5.676645650994033
G2601630985300,6.714365714928135
G2601630576600,5.2708274270407856
G1600490960200,7.003316421993077
G1500030005700,7.433468512026593
G2001730000600,8.436499584000558
G4802450011500,7.56173764099367
G0801130968101,4.367932670051232
G5300630002600,6.361227897927165
G0600310001601,5.106678152922541
G3500250000502,6.397074105916545
G0600730005100,4.760038492036983
G1800890010205,8.483362722909078
G0600710009904,11.419120101025328
G2601630573500,10.418819699902087
G5300530061800,4.358313817065209
G2300030951800,8.14497834793292
G0400130941000,4.859487077919766
